code,predict
C1003,17136.7634433697
C1006,109526.260272896
C1016,479228.08267181
C1019,97274.3191024969
C1030,8258.03770467478
C1038,45781.8199442918
C1040,167302.293064073
C1060,351087.040462565
C1064,542595.628572367
C1071,307483.124943156
C1072,513284.994818815
C1083,170184.307507449
C1105,784613.571801189
C1128,1327334.36540448
C1135,74307.2740100128
C1147,629023.574060281
C1149,374150.617688135
C1152,900218.737925366
C1158,105846.647616117
C1166,138697.161007547
C1189,64122.5381998226
C1215,326518.79557706
C1216,112640.674691331
C1225,87862.479076891
C1229,371213.330021952
C1239,155450.536570152
C1250,952289.550497113
C1253,732322.08187096
C1266,204894.621529433
C1267,99716.0806210461
C1282,370457.767186986
C1289,101990.084824073
C1294,388330.961754525
C1297,384297.011015614
C1311,16835.0985000007
C1318,63221.1467499291
C1323,292338.80450114
C1327,2497.39808386302
C1332,1128789.7109574
C1349,88253.0417988405
C1377,112453.75558347
C1392,432950.130627584
C1414,197470.030984129
C1416,707381.777629548
C1456,186708.794985006
C1457,283388.088141141
C1472,176377.877093048
C1474,5503.71825966058
C1494,970094.126013364
C1495,833843.71422013
C1496,619186.869848587
C1521,1310284.60333429
C1525,1251607.17009035
C1563,2431766.57408769
C1564,144650.494841788
C1570,767317.066120342
C1593,53424.2088793616
C1602,152327.05112944
C1603,271908.306558537
C1604,149469.188312541
C1617,880404.395270009
C1621,318558.187500723
C1623,137269.929019867
C1629,74856.7691515614
C1633,48048.7951152751
C1637,275276.353520735
C1640,287708.190411549
C1683,29584.4349170688
C1692,1230101.33355294
C1708,106938.154257112
C1712,441457.679103799
C1721,374280.429202818
C1729,37260.0576344776
C1741,253300.709716933
C1749,276390.148047307
C1772,343604.690498197
C1782,198458.095384007
C1794,973714.739396648
C1812,3492.75039654624
C1826,77120.309622727
C1827,166892.925571874
C1830,650845.020975976
C1835,755910.252341716
C1840,277606.880085838
C1841,614.174475603526
C1844,243971.906097909
C1849,417781.317356837
C1852,805962.319380304
C1855,102020.353960964
C1887,497928.281844097
C1902,675595.423611209
C2028,1479802.87858222
C2033,35248.4331124312
C2039,892626.212866456
C2043,14016.2726633212
C2072,58401.0955228197
C2076,970718.811604583
C2091,1126.17151695864
C2112,171609.337936614
C2113,335459.60363164
C2128,113438.250552087
C2131,257305.649875799
C2144,189082.59836442
C2152,2737.07399748532
C2174,120386.62983812
C2175,707227.330248924
C2177,17416.0025074455
C2189,68010.4634196122
C2215,226671.084688307
C2222,187721.647328203
C2224,543773.752406344
C2253,31058.1549016456
C2267,946276.044702862
C2268,151631.47819871
C2269,327271.40768841
C2292,1338033.63694613
C2295,261910.485300672
C2303,1677888.69447357
C2318,40331.6130920943
C2323,448982.225877754
C2335,58927.2472069927
C2363,101501.046655082
C2369,320304.821627573
C2374,124283.710777791
C2397,332929.195674926
C2404,135.966525790307
C2411,538168.674952512
C2417,152982.754735628
C2423,54711.5394309705
C2430,437813.132043257
C2436,414869.395583742
C2451,399183.157738261
C2456,59700.2457472368
C2473,1273320.50539676
C2497,495265.198610595
C2523,122848.63070871
C2535,206175.286160909
C2547,243274.674512268
C2551,892501.392486738
C2555,1538751.42488151
C2557,486356.189377005
C2600,207048.746731735
C2602,71981.5166551413
C2608,1168641.02497268
C2646,347369.157431228
C2653,811069.886072521
C2675,786242.181063857
C2676,157923.49205998
C2688,278.042428144078
C2691,1258722.11336876
